maintenance_id,transformer_id,maintenance_date,maintenance_type,technician,temperature_before_c,vibration_before_mm_s,oil_condition_score,maintenance_result,next_maintenance_date
MAIN0067,TR024,2026-01-01 01:52:12,Preventive Maintenance,Team Bravo,74.59,3.182,70.74,Completed - Follow-up Required,2026-02-22
MAIN0243,TR077,2026-01-02 14:43:22,Oil Testing,Team Bravo,59.91,2.087,76.64,Action Required,2026-01-14
MAIN0022,TR008,2026-01-04 08:08:15,Routine Inspection,Team Alpha,61.44,2.579,92.53,Normal,2026-04-22
MAIN0056,TR019,2026-01-04 13:49:01,Partial Discharge Test,Team Alpha,72.41,2.453,72.37,Action Required,2026-01-20
MAIN0059,TR020,2026-01-04 17:25:58,Oil Testing,Team Bravo,78.3,2.232,71.6,Action Required,2026-01-14
MAIN0103,TR035,2026-01-05 12:19:10,Routine Inspection,Team Alpha,73.05,3.416,78.32,Action Required,2026-01-21
MAIN0106,TR037,2026-01-07 07:22:21,Oil Testing,Team Delta,72.52,3.222,66.01,Action Required,2026-01-14
MAIN0240,TR076,2026-01-08 12:41:39,Oil Testing,Team Echo,63.26,2.821,85.74,Action Required,2026-01-15
MAIN0127,TR042,2026-01-09 22:47:52,Thermal Inspection,Team Alpha,69.58,3.259,71.27,Hotspot Detected,2026-04-20
MAIN0153,TR049,2026-01-11 00:27:36,Routine Inspection,Team Charlie,72.55,2.22,82.94,Action Required,2026-02-01
MAIN0216,TR069,2026-01-12 19:22:48,Oil Testing,Team Charlie,63.06,2.238,90.31,Degraded,2026-02-26
MAIN0199,TR064,2026-01-13 21:20:21,Oil Testing,Team Echo,60.16,2.203,81.07,Action Required,2026-01-25
MAIN0064,TR023,2026-01-14 11:52:55,Oil Testing,Team Delta,75.44,1.106,75.33,Action Required,2026-01-22
MAIN0198,TR064,2026-01-14 15:06:24,Thermal Inspection,Team Bravo,63.42,1.821,81.11,Normal,2026-04-03
MAIN0057,TR019,2026-01-15 00:46:00,Partial Discharge Test,Team Charlie,69.41,1.953,80.82,Action Required,2026-01-30
MAIN0314,TR098,2026-01-15 06:44:54,Vibration Inspection,Team Charlie,75.64,2.527,91.61,Action Required,2026-02-10
MAIN0016,TR006,2026-01-15 14:03:35,Cooling System Inspection,Team Charlie,73.63,1.968,78.07,Normal,2026-04-30
MAIN0035,TR012,2026-01-16 04:19:29,Preventive Maintenance,Team Charlie,71.18,2.974,81.86,Completed,2026-05-30
MAIN0088,TR030,2026-01-16 05:56:08,Emergency Repair,Team Echo,74.38,2.043,68.32,Replacement Recommended,2026-02-15
MAIN0110,TR038,2026-01-16 22:17:50,Cooling System Inspection,Team Alpha,66.33,2.273,62.29,Fan Issue Found,2026-05-08
MAIN0028,TR010,2026-01-18 03:30:54,Oil Testing,Team Bravo,64.14,2.427,74.47,Action Required,2026-02-03
MAIN0128,TR042,2026-01-18 08:45:10,Vibration Inspection,Team Delta,76.31,2.456,78.33,Elevated Vibration,2026-02-27
MAIN0301,TR094,2026-01-18 13:39:05,Thermal Inspection,Team Echo,62.36,2.332,84.17,Action Required,2026-02-03
MAIN0002,TR001,2026-01-19 01:23:47,Electrical Testing,Team Foxtrot,66.34,2.026,86.5,Passed,2026-05-12
MAIN0147,TR048,2026-01-19 02:48:29,Vibration Inspection,Team Delta,71.29,2.196,90.27,Elevated Vibration,2026-02-14
MAIN0013,TR005,2026-01-19 22:16:59,Preventive Maintenance,Team Charlie,66.49,3.219,78.99,Completed - Follow-up Required,2026-03-18
MAIN0150,TR048,2026-01-21 02:11:42,Vibration Inspection,Team Echo,65.59,2.596,70.15,Elevated Vibration,2026-02-26
MAIN0186,TR060,2026-01-21 05:56:10,Routine Inspection,Team Charlie,68.73,3.266,75.53,Minor Issue Found,2026-03-03
MAIN0209,TR067,2026-01-21 09:41:33,Cooling System Inspection,Team Delta,68.67,2.536,81.17,Action Required,2026-02-05
MAIN0220,TR070,2026-01-21 14:57:08,Oil Filtration,Team Foxtrot,62.52,1.598,92.59,Completed - Monitoring Required,2026-04-11
MAIN0133,TR043,2026-01-22 10:00:53,Thermal Inspection,Team Delta,64.3,1.997,82.76,Normal,2026-07-16
MAIN0289,TR090,2026-01-22 22:44:49,Electrical Testing,Team Echo,57.04,1.793,83.18,Passed,2026-06-08
MAIN0168,TR054,2026-01-23 13:10:32,Preventive Maintenance,Team Foxtrot,61.29,2.142,83.41,Completed,2026-05-20
MAIN0048,TR016,2026-01-24 17:52:23,Partial Discharge Test,Team Alpha,67.66,1.885,73.48,Action Required,2026-02-20
MAIN0293,TR091,2026-01-25 15:05:31,Routine Inspection,Team Echo,69.31,2.917,75.89,Action Required,2026-02-05
MAIN0009,TR004,2026-01-26 18:04:22,Emergency Repair,Team Alpha,66.26,1.814,65.2,Replacement Recommended,2026-02-22
MAIN0310,TR097,2026-01-27 03:05:47,Routine Inspection,Team Alpha,59.75,2.548,74.88,Normal,2026-05-10
MAIN0182,TR059,2026-01-28 02:03:48,Thermal Inspection,Team Charlie,65.16,1.582,80.59,Action Required,2026-02-24
MAIN0006,TR003,2026-01-28 06:54:14,Routine Inspection,Team Echo,48.67,2.428,80.97,Normal,2026-05-19
MAIN0045,TR015,2026-01-28 09:08:35,Thermal Inspection,Team Alpha,67.07,2.644,72.49,Hotspot Detected,2026-07-23
MAIN0226,TR072,2026-01-28 16:03:04,Preventive Maintenance,Team Delta,64.45,2.173,73.3,Completed - Follow-up Required,2026-03-28
MAIN0215,TR068,2026-01-29 03:49:27,Routine Inspection,Team Charlie,76.21,1.913,95.32,Action Required,2026-02-22
MAIN0037,TR013,2026-01-30 06:53:07,Routine Inspection,Team Bravo,73.53,2.532,76.67,Minor Issue Found,2026-03-10
MAIN0114,TR039,2026-01-30 17:30:42,Emergency Repair,Team Bravo,73.39,2.601,74.41,Replacement Recommended,2026-02-18
MAIN0060,TR021,2026-01-31 22:13:08,Partial Discharge Test,Team Bravo,64.45,1.998,68.98,Elevated PD,2026-03-06
MAIN0261,TR082,2026-02-02 04:39:01,Preventive Maintenance,Team Foxtrot,60.89,2.348,79.13,Completed - Follow-up Required,2026-03-06
MAIN0271,TR085,2026-02-02 23:56:43,Oil Filtration,Team Delta,67.92,2.136,92.24,Completed,2026-06-09
MAIN0027,TR010,2026-02-03 09:41:09,Oil Testing,Team Echo,73.11,2.622,77.03,Degraded,2026-03-09
MAIN0011,TR004,2026-02-03 16:50:52,Electrical Testing,Team Echo,64.49,2.066,97.94,Passed,2026-04-27
MAIN0044,TR014,2026-02-03 19:53:02,Preventive Maintenance,Team Alpha,75.96,2.685,74.67,Completed - Follow-up Required,2026-03-17
MAIN0055,TR018,2026-02-04 01:27:26,Routine Inspection,Team Delta,61.28,2.154,83.2,Minor Issue Found,2026-03-17
MAIN0214,TR068,2026-02-04 18:23:44,Routine Inspection,Team Alpha,62.34,1.477,87.81,Normal,2026-07-04
MAIN0254,TR080,2026-02-05 00:57:42,Preventive Maintenance,Team Delta,61.55,2.305,83.17,Completed,2026-07-04
MAIN0118,TR040,2026-02-05 16:44:57,Preventive Maintenance,Team Alpha,61.9,1.318,96.36,Completed - Follow-up Required,2026-03-22
MAIN0233,TR074,2026-02-08 18:17:59,Oil Testing,Team Foxtrot,55.33,1.316,81.64,Good,2026-07-29
MAIN0267,TR084,2026-02-08 19:51:49,Cooling System Inspection,Team Alpha,75.48,2.233,93.57,Fan Issue Found,2026-04-16
MAIN0268,TR084,2026-02-09 04:29:45,Preventive Maintenance,Team Delta,81.29,3.281,86.68,Completed - Follow-up Required,2026-03-02
MAIN0187,TR060,2026-02-09 04:44:11,Oil Testing,Team Delta,69.58,2.724,80.32,Action Required,2026-02-26
MAIN0117,TR040,2026-02-10 15:37:43,Oil Testing,Team Charlie,62.76,2.094,88.11,Good,2026-06-24
MAIN0269,TR084,2026-02-11 18:29:41,Routine Inspection,Team Echo,71.13,1.964,75.46,Minor Issue Found,2026-03-04
MAIN0190,TR061,2026-02-12 00:08:58,Electrical Testing,Team Echo,67.12,1.41,79.27,Passed,2026-05-31
MAIN0288,TR090,2026-02-12 00:46:11,Preventive Maintenance,Team Foxtrot,61.31,2.337,92.39,Completed,2026-07-25
MAIN0051,TR017,2026-02-12 05:17:39,Routine Inspection,Team Echo,50.06,2.039,82.66,Normal,2026-04-28
MAIN0126,TR041,2026-02-13 01:24:22,Emergency Repair,Team Charlie,79.01,3.247,55.07,Replacement Recommended,2026-03-13
MAIN0159,TR051,2026-02-15 03:00:35,Oil Testing,Team Bravo,67.11,2.075,91.81,Good,2026-05-23
MAIN0138,TR045,2026-02-15 04:11:37,Oil Filtration,Team Echo,73.11,2.388,92.02,Completed,2026-05-04
MAIN0095,TR033,2026-02-15 15:03:23,Routine Inspection,Team Echo,65.64,2.006,83.56,Minor Issue Found,2026-03-10
MAIN0007,TR003,2026-02-15 18:58:32,Routine Inspection,Team Echo,63.44,1.687,90.11,Normal,2026-07-17
MAIN0154,TR049,2026-02-16 06:22:42,Oil Testing,Team Delta,64.13,2.134,85.28,Good,2026-05-20
MAIN0061,TR021,2026-02-16 11:30:12,Partial Discharge Test,Team Bravo,66.62,2.527,81.6,Normal,2026-05-12
MAIN0291,TR091,2026-02-18 05:58:01,Partial Discharge Test,Team Delta,68.6,2.333,96.49,Normal,2026-06-18
MAIN0079,TR027,2026-02-18 22:25:36,Emergency Repair,Team Delta,73.48,4.102,66.14,Replacement Recommended,2026-03-04
MAIN0255,TR080,2026-02-19 23:58:49,Routine Inspection,Team Delta,76.22,1.976,82.23,Minor Issue Found,2026-04-13
MAIN0080,TR027,2026-02-20 15:11:30,Routine Inspection,Team Charlie,72.03,3.257,93.43,Normal,2026-06-02
MAIN0257,TR081,2026-02-20 21:13:24,Preventive Maintenance,Team Echo,64.99,2.558,81.5,Completed - Follow-up Required,2026-04-21
MAIN0043,TR014,2026-02-21 02:12:04,Vibration Inspection,Team Charlie,76.31,2.199,79.04,Action Required,2026-03-15
MAIN0223,TR071,2026-02-22 03:59:20,Preventive Maintenance,Team Delta,67.25,1.955,69.23,Completed - Follow-up Required,2026-04-20
MAIN0252,TR079,2026-02-22 11:14:02,Preventive Maintenance,Team Charlie,65.94,1.756,80.51,Completed,2026-05-13
MAIN0244,TR077,2026-02-23 01:38:08,Oil Filtration,Team Echo,59.01,2.138,100.0,Completed,2026-08-06
MAIN0149,TR048,2026-02-23 13:41:33,Routine Inspection,Team Foxtrot,68.93,2.074,90.96,Normal,2026-05-17
MAIN0047,TR015,2026-02-23 20:06:03,Preventive Maintenance,Team Charlie,53.67,1.691,100.0,Completed,2026-06-08
MAIN0108,TR037,2026-02-23 20:40:50,Oil Filtration,Team Echo,66.16,1.858,78.9,Completed,2026-08-14
MAIN0311,TR097,2026-02-24 01:57:21,Cooling System Inspection,Team Alpha,67.3,1.443,100.0,Normal,2026-05-09
MAIN0253,TR079,2026-02-24 06:25:48,Electrical Testing,Team Charlie,69.65,2.892,85.81,Failed - Repair Required,2026-03-09
MAIN0010,TR004,2026-02-24 13:27:40,Preventive Maintenance,Team Foxtrot,66.13,2.765,87.09,Completed - Follow-up Required,2026-03-20
MAIN0119,TR040,2026-02-24 18:31:27,Vibration Inspection,Team Foxtrot,73.85,2.674,77.5,Action Required,2026-03-10
MAIN0024,TR009,2026-02-25 05:34:56,Oil Testing,Team Echo,64.09,2.393,61.87,Action Required,2026-03-14
MAIN0100,TR035,2026-02-25 20:06:59,Electrical Testing,Team Alpha,65.25,2.06,87.43,Passed,2026-06-13
MAIN0071,TR025,2026-02-26 01:15:11,Thermal Inspection,Team Foxtrot,54.54,1.547,70.34,Normal,2026-08-08
MAIN0041,TR014,2026-02-26 13:00:45,Oil Testing,Team Bravo,65.67,1.926,95.6,Good,2026-07-27
MAIN0306,TR096,2026-02-26 15:15:19,Cooling System Inspection,Team Delta,78.09,3.461,69.83,Action Required,2026-03-25
MAIN0021,TR008,2026-02-27 04:57:21,Routine Inspection,Team Echo,65.62,1.577,92.3,Normal,2026-05-08
MAIN0123,TR041,2026-02-28 16:02:19,Vibration Inspection,Team Charlie,83.04,4.205,60.46,Elevated Vibration,2026-04-20
MAIN0308,TR096,2026-03-01 09:29:18,Emergency Repair,Team Delta,77.19,3.905,85.34,Repaired,2026-06-22
